#;RECORD_VERSION;Kod Ringkas;Kod Penuh;NAMA_MELAYU;NAME_EN;c1;c2;c3;c4;UNIT;Catatan
"";"2009v1.1";"122904";"122904012";"Pulasan";"Pulasan";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904013";"Rambai";"Rambai";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904014";"Salak";"Salak";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904015";"Cashew (gajus)";"Cashew (gajus)";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904016";"Jambu bol (Malacca jambu)";"Jambu bol (Malacca jambu)";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904017";"Jambu air madu (wax apple)";"Jambu air madu (wax apple)";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904018";"Terap";"Terap";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904019";"Jambu air (water rose apple)";"Jambu air (water rose apple)";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904020";"Nona kapri (bullock's heart)";"Nona kapri (bullock's heart)";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904021";"Breadfruit (sukun)";"Breadfruit (sukun)";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904022";"Sentol";"Sentol";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904023";"kedondong";"kedondong";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122904";"122904024";"Other ropical fruits,fresh";"Other ropical fruits,fresh";"1319";"081090190";"";"";"";""
"";"2009v1.1";"122905";"122905001";"Persimmon (pisang kaki)";"Persimmon (pisang kaki)";"1399";"081090990";"";"";"";""
"";"2009v1.1";"122905";"122905002";"Pomegranate (delima)";"Pomegranate (delima)";"1399";"081090990";"";"";"";""
"";"2009v1.1";"122905";"122905003";"Tamarind, fresh";"Tamarind, fresh";"1399";"081090170";"";"";"";""
"";"2009v1.1";"122905";"122905004";"Other fruits, other than tropical fruits";"Other fruits, other than tropical fruits";"1399";"081090990";"";"";"";""
"";"2009v1.1";"123101";"123101001";"Pomelo";"Pomelo";"1321";"080540000";"";"";"";""
"";"2009v1.1";"123201";"123201001";"Lemons (citrus limon, citrus limonum)";"Lemons (citrus limon, citrus limonum)";"1322";"080530100";"";"";"";""
"";"2009v1.1";"123201";"123201002";"Limes (citrus aurantifolia)";"Limes (citrus aurantifolia)";"1322";"080530200";"";"";"";""
"";"2009v1.1";"123301";"123301001";"Mandarins (including tangerines and satsumas), fresh";"Mandarins (including tangerines and satsumas), fresh";"1324";"080520110";"";"";"";""
"";"2009v1.1";"123301";"123301002";"Mandarins (including tangerines and satsumas), dried";"Mandarins (including tangerines and satsumas), dried";"1324";"080520110";"";"";"";""
"";"2009v1.1";"123301";"123301003";"Clementines, wilkings and similar citrus hybrids";"Clementines, wilkings and similar citrus hybrids";"1324";"080520900";"";"";"";""
"";"2009v1.1";"123901";"123901001";"Grapefruits";"Grapefruits";"1321";"080540000";"";"";"";""
"";"2009v1.1";"123902";"123902001";"Oranges";"Oranges";"1323";"080510100";"";"";"";""
"";"2009v1.1";"123903";"123903001";"Musk lime (limau kasturi) and other citrus fruits";"Musk lime (limau kasturi) and other citrus fruits";"1329";"080590000";"";"";"";""
"";"2009v1.1";"123903";"123903002";"Limau madu/Limau langkat";"Limau madu/Limau langkat";"1329";"080590000";"";"";"";""
"";"2009v1.1";"123903";"123903003";"Other citrus fruits";"Other citrus fruits";"1329";"080590000";"";"";"";""
"";"2009v1.1";"124101";"124101001";"Guavas";"Guavas";"1319";"080450100";"";"";"";""
"";"2009v1.1";"124901";"124901001";"Apples";"Apples";"1351";"080810000";"";"";"";""
"";"2009v1.1";"124902";"124902001";"Pears and quinces";"Pears and quinces";"1352";"080820000";"";"";"";""
"";"2009v1.1";"124903";"124903001";"Apricots";"Apricots";"1353";"080910000";"";"";"";""
