"";""104-Perhutanan dan Pembalakan";"A";"A";"03114";"Activities of vessels engaged both in fishing and in processing and preserving of fish";"03114p";"03114";"Activities of vessels engaged both in fishing and in processing and preserving of fish"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03301";"Activities on vessels involving processing and preserving";"03114p";"03114";"Activities of vessels engaged both in fishing and in processing and preserving of fish"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03115";"Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae)";"03115";"03115";"Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae)"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03119";"Marine fishing n.e.c.";"03119";"03119";"Marine fishing n.e.c."
"";""104-Perhutanan dan Pembalakan";"A";"A";"03121";"Fishing on a commercial basis in inland waters";"03121p";"03121";"Fishing on a commercial basis in inland waters"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03125";"Taking of freshwater ornamental fish";"03121p";"03121";"Fishing on a commercial basis in inland waters"
"";""104-Perhutanan dan Pembalakan";"A";"A";"03122";"Taking of freshwater crustaceans and molluscs";"03122";"03122";"Taking of freshwater crustaceans and molluscs"
"";""105-Perikanan";"A";"A";"03123";"Taking of freshwater aquatic animals";"03123";"03123";"Taking of freshwater aquatic animals"
"";""105-Perikanan";"A";"A";"03124";"Gathering of freshwater flora and fauna";"03124";"03124";"Gathering of freshwater flora and fauna"
"";""105-Perikanan";"A";"A";"03129";"Freshwater fishing n.e.c.";"03129p";"03129";"Freshwater fishing n.e.c."
"";""105-Perikanan";"A";"A";"03309";"Other fisheries and aquaculture support activities n.e.c";"03129p, 03229p";"03129";"Freshwater fishing n.e.c."
"";""105-Perikanan";"A";"A";"03211";"Fish farming in sea water";"03211p";"03211";"Fish farming in sea water"
"";""105-Perikanan";"A";"A";"03216";"Ornamental fish farming";"03211p";"03211";"Fish farming in sea water"
"";""105-Perikanan";"A";"A";"03212";"Production of bivalve spat (oyster, mussel), lobster lings, shrimp post-larvae, fish fry and fingerlings";"03212";"03212";"Production of bivalve spat (oyster, mussel), lobster lings, shrimp post-larvae, fish fry and fingerlings"
"";""105-Perikanan";"A";"A";"03213";"Growing of laver and other edible seaweeds";"03213";"03213";"Growing of laver and other edible seaweeds"
